ID	chrom	loc.start	loc.end	num.mark	seg.mean
P-0000012-T02-IM3	1	2487900	245978175	1151	-0.225977153435561
P-0000012-T02-IM3	2	4562305	113690935	520	-0.156136343358644
P-0000012-T02-IM3	2	113691060	125301600	68	0.693230319081143
P-0000012-T02-IM3	2	125424690	242982358	450	-0.131724874255438
P-0000012-T02-IM3	3	1449900	197348786	1009	-0.212454807937847
P-0000012-T02-IM3	4	1402580	190262550	581	-0.28978445795353
P-0000012-T02-IM3	5	223669	180058928	801	-0.539279200969154
P-0000012-T02-IM3	6	393323	170798983	736	-0.0334335989687456
P-0000012-T02-IM3	7	1672599	158451137	794	-0.10434347197934
P-0000012-T02-IM3	8	565232	145742488	279	0.174286292625489
P-0000012-T02-IM3	9	421860	139566928	618	-0.242862916540958
P-0000012-T02-IM3	10	1509981	134199250	391	-0.121795807019178
P-0000012-T02-IM3	11	532729	133495676	695	-0.344981970041523
P-0000012-T02-IM3	12	394421	4409206	95	-0.473040192898296
P-0000012-T02-IM3	12	4554459	13720067	91	0.5740979760864
P-0000012-T02-IM3	12	13761546	133263955	606	-0.487419155716137
P-0000012-T02-IM3	13	21004618	112722387	491	-0.4050560704675
P-0000012-T02-IM3	14	20085100	105906073	246	-0.533164248223443
P-0000012-T02-IM3	15	20488870	101094405	357	-0.506546219770051
P-0000012-T02-IM3	16	114945	89882500	509	-0.452812098172033
P-0000012-T02-IM3	17	114669	80783150	850	-0.372995469645608
P-0000012-T02-IM3	18	724300	74387434	220	-0.252871580458632
P-0000012-T02-IM3	19	1206900	58288250	776	-0.313383062547524
P-0000012-T02-IM3	20	345686	61048549	348	-0.424275416187859
P-0000012-T02-IM3	21	10996118	45658474	194	0.079930383186987
P-0000012-T02-IM3	22	16346537	49370962	277	-0.133325639863844
P-0000012-T02-IM3	23	451000	149924900	627	-0.79146570851084
P-0000041-T01-IM3	1	2487877	120484450	738	-0.178222889545933
P-0000041-T01-IM3	1	120490946	243668671	466	0.129441640939369
P-0000041-T01-IM3	1	243675500	245978150	26	-0.123749275763082
P-0000041-T01-IM3	2	4562500	110053371	509	-0.253792147553706
P-0000041-T01-IM3	2	111881416	122466585	112	0.69912817908067
P-0000041-T01-IM3	2	125301502	242982324	460	-0.21181730056777
P-0000041-T01-IM3	3	1449841	46397800	209	-0.0237395167111675
P-0000041-T01-IM3	3	47058400	76716986	293	-0.372829448173678
P-0000041-T01-IM3	3	87348066	197348786	550	-0.0501902895810298
P-0000041-T01-IM3	4	1402650	190262550	604	-0.47134425090308
P-0000041-T01-IM3	5	218487	1293863	62	-0.31781551892436
P-0000041-T01-IM3	5	1294086	67593353	272	0.212700052584959
P-0000041-T01-IM3	5	68390284	116415400	144	-0.465671559802717
